action_resource_type_id,action_id,resource_type_id,required_flag
1,1,2,false
2,1,2128,false
3,2,1,false
4,3,1,false
5,3,2,false
6,3,2128,false
7,4,1,false
8,4,2,false
9,4,2128,false
10,5,1,false
11,5,2,false
12,5,2128,false
13,6,1,false
14,6,2,false
15,7,1,false
16,7,2,false
17,7,2128,false
18,8,1,false
19,8,2,false
20,9,1,false
21,9,2,false
22,10,2,false
23,11,1,false
24,11,2,false
25,11,2128,false
26,12,1,false
27,12,2,false
28,13,1,false
29,13,2,false
30,14,1,false
31,14,2,false
32,14,2128,false
33,15,1,false
34,15,2,false
35,16,2,false
36,16,2128,false
37,17,2171,false
38,18,2174,false
39,19,2174,false
40,20,2174,false
41,21,2174,false
42,22,2174,false
43,23,2174,false
44,24,2174,false
45,25,2174,false
46,26,3,true
47,27,2168,false
48,28,3,true
49,29,2168,false
50,29,4,true
51,30,4,true
52,31,6,true
53,32,4,true
54,33,3,true
55,34,3,true
56,35,4,true
57,36,6,true
58,37,5,true
59,38,7,true
60,39,3,true
61,40,3,true
62,41,3,true
63,42,3,true
64,43,3,true
65,44,4,true
66,45,6,true
67,46,5,true
68,47,3,true
69,48,7,true
70,49,2168,false
71,50,3,true
72,51,3,true
73,52,3,true
74,53,3,true
75,54,4,true
76,55,2168,false
77,56,3,false
78,56,6,false
79,56,7,false
80,56,4,false
81,57,3,true
82,58,4,true
83,59,5,true
84,60,5,true
85,61,3,false
86,61,6,false
87,61,7,false
88,61,2168,false
89,61,4,false
90,62,3,false
91,62,6,false
92,62,7,false
93,62,2168,false
94,62,4,false
95,63,3,true
96,64,4,true
97,65,6,true
98,66,7,true
99,67,9,true
100,68,8,true
101,69,11,true
102,69,10,true
103,69,9,true
104,70,12,true
105,70,10,true
106,70,9,true
107,71,14,true
108,72,10,true
109,72,16,true
110,72,9,true
111,73,15,true
112,73,9,true
113,74,10,true
114,74,9,true
115,75,11,true
116,75,10,true
117,75,9,true
118,76,12,true
119,76,10,true
120,76,9,true
121,77,10,true
122,77,16,true
123,77,9,true
124,78,15,true
125,78,9,true
126,79,11,true
127,79,10,true
128,79,9,true
129,80,10,true
130,80,9,true
131,81,11,true
132,81,10,true
133,81,9,true
134,82,11,true
135,82,10,true
136,82,9,true
137,83,12,true
138,83,10,true
139,83,9,true
140,84,13,true
141,84,9,true
142,85,10,true
143,85,9,true
144,86,15,true
145,86,9,true
146,87,12,true
147,87,10,true
148,87,9,true
149,88,10,true
150,88,16,true
151,88,9,true
152,89,13,true
153,89,9,true
154,90,2172,false
155,91,10,true
156,91,9,true
157,92,14,true
158,93,11,true
159,93,10,true
160,93,9,true
161,94,12,true
162,94,10,true
163,94,9,true
164,95,14,true
165,96,13,true
166,96,9,true
167,97,10,true
168,97,16,true
169,97,9,true
170,98,2183,false
171,99,2183,false
172,100,2183,false
173,101,18,true
174,102,19,true
175,103,20,true
176,104,2183,false
177,105,2183,false
178,106,2183,false
179,107,2183,false
180,108,17,true
181,109,18,true
182,110,19,true
183,111,2183,false
184,112,20,true
185,113,2183,false
186,114,2183,false
187,115,2183,false
188,116,17,false
189,116,18,false
190,116,20,false
191,116,19,false
192,117,2183,false
193,118,2183,false
194,119,2183,false
195,120,2183,false
196,121,2183,false
197,122,17,false
198,122,18,false
199,122,20,false
200,122,19,false
201,122,2183,false
202,123,17,false
203,123,18,false
204,123,20,false
205,123,19,false
206,123,2183,false
207,124,18,true
208,125,19,true
209,126,20,true
210,127,27,true
211,127,22,false
212,128,21,true
213,128,2129,false
214,129,25,true
215,129,23,false
216,130,2129,false
217,130,26,true
218,131,23,true
219,131,22,false
220,132,24,true
221,132,2129,false
222,133,23,false
223,133,24,false
224,133,22,true
225,134,27,true
226,135,21,true
227,136,21,true
228,137,25,true
229,138,26,true
230,139,23,true
231,140,24,true
232,141,22,true
233,142,27,true
234,143,21,true
235,144,25,true
236,145,26,true
237,146,23,true
238,147,24,true
239,148,22,true
240,149,21,true
241,150,26,true
242,151,2129,false
243,152,24,true
244,153,27,false
245,153,21,false
246,153,25,false
247,153,23,false
248,153,24,false
249,153,26,false
250,153,22,false
251,154,21,true
252,155,21,true
253,156,21,true
254,157,21,true
255,158,21,true
256,159,23,false
257,159,26,false
258,160,27,false
259,160,21,false
260,160,25,false
261,160,23,false
262,160,24,false
263,160,2129,false
264,160,26,false
265,160,22,false
266,161,27,false
267,161,21,false
268,161,25,false
269,161,23,false
270,161,24,false
271,161,2129,false
272,161,26,false
273,161,22,false
274,162,27,true
275,162,22,false
276,163,21,true
277,164,25,true
278,164,23,false
279,165,26,true
280,166,23,true
281,167,24,true
282,168,23,false
283,168,24,false
284,168,22,true
285,169,34,true
286,169,29,false
287,170,28,true
288,171,32,true
289,171,30,false
290,172,33,true
291,173,30,true
292,173,29,false
293,174,31,true
294,175,29,true
295,175,30,false
296,175,31,false
297,176,34,true
298,177,28,true
299,178,28,true
300,179,32,true
301,180,33,true
302,181,30,true
303,182,31,true
304,183,29,true
305,184,34,true
306,185,28,true
307,186,32,true
308,187,33,true
309,188,30,true
310,189,31,true
311,190,29,true
312,191,28,true
313,192,33,true
314,193,2130,false
315,194,31,true
316,195,28,true
317,196,28,true
318,197,28,true
319,198,28,true
320,199,28,true
321,200,33,false
322,200,30,false
323,201,34,true
324,201,29,false
325,202,28,true
326,203,32,true
327,203,30,false
328,204,33,true
329,205,30,true
330,206,31,true
331,207,29,true
332,207,30,false
333,207,31,false
334,208,35,true
335,209,35,true
336,209,41,true
337,210,37,true
338,210,2219,false
339,211,36,true
340,211,2219,false
341,212,38,true
342,212,2219,false
343,213,35,true
344,213,37,false
345,213,36,false
346,213,38,false
347,213,39,false
348,213,2219,false
349,214,39,true
350,214,2219,false
351,215,40,true
352,215,2219,false
353,216,37,true
354,217,36,true
355,218,38,true
356,219,35,true
357,220,39,true
358,221,40,true
359,222,37,true
360,223,35,true
361,224,38,true
362,225,35,true
363,226,35,true
364,227,39,true
365,228,40,true
366,229,35,true
367,230,35,true
368,231,35,true
369,232,41,true
370,233,2219,false
371,234,2219,false
372,235,2219,false
373,236,35,true
374,237,2219,false
375,238,37,true
376,239,37,false
377,239,36,false
378,239,38,false
379,239,35,false
380,239,39,false
381,240,2219,false
382,241,2219,false
383,242,35,true
384,243,35,true
385,244,35,true
386,245,37,false
387,245,36,false
388,245,38,false
389,245,35,false
