service_id,name,prefix,reference_url
1,AWS Account Management,account,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsaccountmanagement.html
2,AWS Activate,activate,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsactivate.html
3,AWS Amplify,amplify,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsamplify.html
4,AWS Amplify Admin,amplifybackend,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsamplifyadmin.html
5,AWS Amplify UI Builder,amplifyuibuilder,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsamplifyuibuilder.html
6,AWS App Mesh,appmesh,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsappmesh.html
7,AWS App Mesh Preview,appmesh-preview,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsappmeshpreview.html
8,AWS App Runner,apprunner,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsapprunner.html
9,AWS App2Container,a2c,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsapp2container.html
10,AWS AppConfig,appconfig,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsappconfig.html
11,AWS AppFabric,appfabric,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsappfabric.html
12,AWS AppSync,appsync,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsappsync.html
13,AWS Application Auto Scaling,application-autoscaling,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsapplicationautoscaling.html
14,AWS Application Cost Profiler Service,application-cost-profiler,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsapplicationcostprofilerservice.html
15,AWS Application Discovery Service,discovery,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsapplicationdiscoveryservice.html
16,AWS Application Migration Service,mgn,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsapplicationmigrationservice.html
17,AWS Application Transformation Service,application-transformation,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsapplicationtransformationservice.html
18,AWS Artifact,artifact,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsartifact.html
19,AWS Audit Manager,auditmanager,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsauditmanager.html
20,AWS Auto Scaling,autoscaling-plans,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsautoscaling.html
21,AWS B2B Data Interchange,b2bi,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsb2bdatainterchange.html
22,AWS Backup,backup,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsbackup.html
23,AWS Backup Gateway,backup-gateway,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsbackupgateway.html
24,AWS Backup storage,backup-storage,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsbackupstorage.html
25,AWS Batch,batch,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsbatch.html
26,AWS Billing,billing,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsbilling.html
27,AWS Billing And Cost Management Data Exports,bcm-data-exports,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsbillingandcostmanagementdataexports.html
28,AWS Billing Conductor,billingconductor,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsbillingconductor.html
29,AWS Billing Console,aws-portal,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsbillingconsole.html
30,AWS Budget Service,budgets,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsbudgetservice.html
31,AWS BugBust,bugbust,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsbugbust.html
32,AWS Certificate Manager,acm,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscertificatemanager.html
33,AWS Chatbot,chatbot,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awschatbot.html
34,AWS Clean Rooms,cleanrooms,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscleanrooms.html
35,AWS Clean Rooms ML,cleanrooms-ml,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscleanroomsml.html
36,AWS Cloud Control API,cloudformation,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscloudcontrolapi.html
37,AWS Cloud Map,servicediscovery,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscloudmap.html
38,AWS Cloud9,cloud9,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscloud9.html
39,AWS CloudFormation,cloudformation,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscloudformation.html
40,AWS CloudHSM,cloudhsm,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscloudhsm.html
41,AWS CloudShell,cloudshell,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscloudshell.html
42,AWS CloudTrail,cloudtrail,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscloudtrail.html
43,AWS CloudTrail Data,cloudtrail-data,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscloudtraildata.html
44,AWS CloudWatch RUM,rum,https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscloudwatchrum.html
